SPR nom.Уровень2,SPR nom.Уровень3,SPR nom.Уровень4,SPR nom.Уровень5,SPR nom.Номенклатура,Код ном
"06 Напитки, Табак",0601 Напитки безалкогольные,060103 Напитки и квас,06010302 Сладкие газированные напитки,"Напиток газ Спрайт 0,33л ж/б",1893,
"06 Напитки, Табак",0601 Напитки безалкогольные,060102 Вода питьевая и газированная/минеральная,"06010203 Минеральная, лечебно-столовая вода","Минеральная вода Зеленоградская 1,5л",1946,
05 Продовольственные товары,0511 Кондитерские изделия,051104 Прикасса,05110401 Жевательные резинки,Жевательная резинка Орбит белоснежный Баблминт Фрукты и Мята,1952,
05 Продовольственные товары,0501 Консервация,"050102 Мед, варенье, сиропы",05010206 Мед,Мёд Цветочный 900г,2172,
05 Продовольственные товары,"0507 Специи, Приправы","050701 Специи, Приправы",05070101 Специи однокомпонентные,Кориандр Цикория молотый 20г,2225,
05 Продовольственные товары,"0507 Специи, Приправы","050702 Смеси сухие для соусов, первых и вторых блюд",05070201 Смеси для приготовления первых и вторых блюд,Приправа для блюд из картофеля Цикория 30г,2226,
05 Продовольственные товары,"0507 Специи, Приправы","050701 Специи, Приправы",05070101 Специи однокомпонентные,Мускатный орех Цикория молотый 15г,2228,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070301 Гигиена полости рта,07030101 Зубная паста,Зубная паста Новый Жемчуг кальций 75мл,2260,
05 Продовольственные товары,"0507 Специи, Приправы","050701 Специи, Приправы","05070103 Приправы, смеси специй с солью",Приправа Куркума Цикория 15г,2312,
05 Продовольственные товары,"0507 Специи, Приправы","050701 Специи, Приправы",05070101 Специи однокомпонентные,Орегано сушеный Цикория 10г,2313,
05 Продовольственные товары,"0507 Специи, Приправы","050701 Специи, Приправы",05070101 Специи однокомпонентные,Имбирь Цикория 20г,2314,
05 Продовольственные товары,"0503 Крупы, Сухие завтраки, Макаронные изделия",050303 Каши быстрого приготовления и хлопья,"05030302 Каши, хлопья порционные",Каша овсяная Доброе утро Увелка с малиной и сливками б/п 40г,2394,
05 Продовольственные товары,"0507 Специи, Приправы","050701 Специи, Приправы",05070101 Специи однокомпонентные,Перец черный горошек Цикория 20г,2421,
05 Продовольственные товары,0501 Консервация,050103 Овощная консервация,05010304 Горошек,Горошек зеленый Бондюэль 400г,2487,
05 Продовольственные товары,0501 Консервация,050103 Овощная консервация,05010305 Кукуруза,Кукуруза консервированная Бондюэль 170г,2488,
05 Продовольственные товары,0501 Консервация,050103 Овощная консервация,05010303 Фасоль белая,Фасоль белая Бондюэль 400г,2489,
05 Продовольственные товары,0501 Консервация,050103 Овощная консервация,05010303 Фасоль белая,Фасоль белая в томат соусе Бондюэль 430г,2490,
07 Непродовольственные товары,0705 Товары для уборки,"070501 Губки, тряпки, швабры","07050102 Швабры, совки, щетки",Набор Йорк совок с резинкой + метелка,2626,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070305 Средства для бритья,07030503 Крем для бритья,Крем для бритья Арко 65г ExtraSensitive,2702,
05 Продовольственные товары,0511 Кондитерские изделия,051104 Прикасса,"05110403 Шоколадные плитки, батончики, конфеты прикасса",Батончик шоколадный Баунти молочный 57г,2756,
05 Продовольственные товары,"0507 Специи, Приправы","050701 Специи, Приправы","05070103 Приправы, смеси специй с солью",Приправа для шашлыка Цикория 30г,2765,
05 Продовольственные товары,"0507 Специи, Приправы","050702 Смеси сухие для соусов, первых и вторых блюд",05070201 Смеси для приготовления первых и вторых блюд,Приправа для супа Цикория 40г,2766,
05 Продовольственные товары,"0507 Специи, Приправы","050702 Смеси сухие для соусов, первых и вторых блюд",05070201 Смеси для приготовления первых и вторых блюд,Приправа для свинины Цикория 30г,2777,
05 Продовольственные товары,"0507 Специи, Приправы","050702 Смеси сухие для соусов, первых и вторых блюд",05070201 Смеси для приготовления первых и вторых блюд,Приправа для плова Цикория 25г,2779,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы",010102 Плодовые овощи,01010203 Зернобобовые овощи,Кукуруза в початках,2781,
05 Продовольственные товары,"0502 Чай, Кофе, Какао","050201 Чай, Чайные напитки",05020101 Чай черный пакетир.,Чай черный Хейлис Шотландский завтрак 50пак,2810,
05 Продовольственные товары,0511 Кондитерские изделия,051104 Прикасса,05110401 Жевательные резинки,"Жевательная резинка Орбит XXL Клубника-Банан 20,4г",2888,
05 Продовольственные товары,0511 Кондитерские изделия,051104 Прикасса,05110401 Жевательные резинки,"Жевательная резинка Орбит XXL Сладкая мята 20,4г",2948,
07 Непродовольственные товары,"0701 Моющие и чистящие средства, Бытовая химия",070103 Чистящие моющие средства,07010308 Универсальные чистящие средства,Порошок Чистин универсальный 400г яблоко,2975,
02 Скоропортящиеся товары,0201 Молочная продукция,"020108 Масло, маргарин, спред",02010801 Масло,"Масло сливочное Кот де Франс 72,5% 180г БЗМЖ",2978,
07 Непродовольственные товары,0702 Бумажно-ватная продукция и Средства гигиены,070204 Ватная продукция,"07020402 Ватные шарики, вата",Вата Белла 100г хлопок,3046,
05 Продовольственные товары,"0502 Чай, Кофе, Какао","050201 Чай, Чайные напитки",05020101 Чай черный пакетир.,Чай Ахмад Английский завтрак черный 40пак,3076,
05 Продовольственные товары,0501 Консервация,050103 Овощная консервация,05010302 Фасоль красная,Фасоль красная Бондюэль 400г,3086,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070302 Дезодоранты,07030204 Мужские дезодоранты спрей,Део Рексона 150мл Для черного и белого спрей муж,3192,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070302 Дезодоранты,07030205 Мужские дезодоранты ролик,Део Рексона 50мл для черного и белого ролл муж,3195,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110201 Шоколад и батончики,Шоколад Шогеттен темный 100г,3542,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110201 Шоколад и батончики,Шоколад Шогеттен молочный 100г,3543,
07 Непродовольственные товары,"0701 Моющие и чистящие средства, Бытовая химия","070102 Ополаскиватели, отбеливатели, кондиционеры","07010201 Отбеливатели, пятновыводители",Пятновыводитель Ваниш для цветного белья 1л,3692,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы",010105 Ягоды,01010502 Сезонные ягоды,Земляника весовая К,3741,
05 Продовольственные товары,0511 Кондитерские изделия,051104 Прикасса,"05110403 Шоколадные плитки, батончики, конфеты прикасса",Батончик шоколадный Милки Вэй 26г,3866,
02 Скоропортящиеся товары,0208 Хлеб и выпечка,020801 Хлеб привозной,"02080101 Хлеб, батон, багет из пшеничной муки",Хлеб Крестьянский РХ нарез 580г,3890,
02 Скоропортящиеся товары,0208 Хлеб и выпечка,020801 Хлеб привозной,"02080104 Хлеб бездрожжевой, здоровые хлеба",Хлеб Тонус РХ 400г,3892,
02 Скоропортящиеся товары,0208 Хлеб и выпечка,020801 Хлеб привозной,"02080101 Хлеб, батон, багет из пшеничной муки",Багет Русский РХ 300г,3896,
02 Скоропортящиеся товары,0208 Хлеб и выпечка,020802 Мелкоштучные изделия привозные,02080204 Мелкоштучные сдобные сладкие изделия,Булочка РХ с маковой начинкой 80г,3898,
02 Скоропортящиеся товары,0201 Молочная продукция,020101 Молоко и молочная продукция,"02010102 Молоко стерилизованное, ультрапастеризованное",Молоко ультрапастеризованное Пармалат 1.8% 1л БЗМЖ,3906,
02 Скоропортящиеся товары,0201 Молочная продукция,020101 Молоко и молочная продукция,"02010102 Молоко стерилизованное, ультрапастеризованное",Молоко ультрапастеризованное Пармалат 3.5% 1л БЗМЖ,3907,
07 Непродовольственные товары,0702 Бумажно-ватная продукция и Средства гигиены,"070206 Прокладки, пеленки и дайперсы для взрослых",07020602 Прокладки в критич. дни,Прокладки Белла А10 Классик Нова Макси,3995,
02 Скоропортящиеся товары,0201 Молочная продукция,020101 Молоко и молочная продукция,02010103 Сливки,Сливки ультрапастеризованные Пармалат для взбивания 35% 500г БЗМЖ,4139,
"06 Напитки, Табак",0601 Напитки безалкогольные,060102 Вода питьевая и газированная/минеральная,"06010203 Минеральная, лечебно-столовая вода","Минеральная вода Зеленоградская 0,5л",4342,
07 Непродовольственные товары,0711 Печатная продукция,"071101 Газеты, журналы","07110101 Газеты, журналы",Журнал Бурда моден,4355,
07 Непродовольственные товары,0711 Печатная продукция,"071101 Газеты, журналы","07110101 Газеты, журналы",Газета 777,4362,
05 Продовольственные товары,"0502 Чай, Кофе, Какао","050201 Чай, Чайные напитки",05020112 Чай черный с добавками листовой,Чай Ахмад Эрл Грей черный 100г,4405,
05 Продовольственные товары,"0507 Специи, Приправы","050701 Специи, Приправы",05070101 Специи однокомпонентные,Гвоздика Цикория 15г,4434,
05 Продовольственные товары,"0515 Диетическое и Диабетическое питание, ЗОЖ",051504 Хлебцы,05150404 Хлебцы рисовые,Хлебцы Др Кёрнер злаковый коктейль Медовый 100г,4493,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,"05110203 Конфеты в коробках, наборы",Конфеты шоколадные Тоффифе 125г,4504,
07 Непродовольственные товары,0702 Бумажно-ватная продукция и Средства гигиены,"070206 Прокладки, пеленки и дайперсы для взрослых",07020602 Прокладки в критич. дни,Прокладки Белла А10 Нова Комфорт Софт,4550,
07 Непродовольственные товары,"0701 Моющие и чистящие средства, Бытовая химия",070103 Чистящие моющие средства,07010308 Универсальные чистящие средства,Порошок чистящийПемолюкс 480г Лимон,4556,
"06 Напитки, Табак",0601 Напитки безалкогольные,060102 Вода питьевая и газированная/минеральная,06010201 Питьевая вода негазированная,Вода питьевая Аква Минерале негаз 2л,4572,
"06 Напитки, Табак",0601 Напитки безалкогольные,060102 Вода питьевая и газированная/минеральная,"06010203 Минеральная, лечебно-столовая вода",Минеральная вода Аква Минерале газ 2л,4573,
05 Продовольственные товары,"0503 Крупы, Сухие завтраки, Макаронные изделия",050303 Каши быстрого приготовления и хлопья,05030304 Хлопья прочие,Хлопья 4-зерновые Мюлен Парас 500г,4673,
05 Продовольственные товары,"0502 Чай, Кофе, Какао","050201 Чай, Чайные напитки",05020111 Чай черный с добавками пакетир,Чай Ахмад Эрл грей 25пак,4675,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы",010101 Овощи вегетативные,"01010101 Клубнеплоды (картофель, батат)",Картофель молодой вес,4694,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы",010102 Плодовые овощи,"01010202 Огурцы, патиссоны, кабачки, тыква",Огурцы фас Теплица Дона,4700,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы",010102 Плодовые овощи,"01010201 Томаты, баклажаны, перец",Перец К,4703,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы",010104 Фрукты,"01010403 Семечковые (яблоки, груша, айва)",Яблоки Гренни Смит,4704,
