SPR nom.Уровень2,SPR nom.Уровень3,SPR nom.Уровень4,SPR nom.Уровень5,SPR nom.Номенклатура,Код ном
07 Непродовольственные товары,0702 Бумажно-ватная продукция и Средства гигиены,"070206 Прокладки, пеленки и дайперсы для взрослых",07020602 Прокладки в критич. дни,Прокладки Белла А16 Перфекта Ультра Макси синяя,147112,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070303 Средства для ванны и душа,07030301 Мыло туалетное,Мыло Люксия 90г Крем Роза/Молоко,147113,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070303 Средства для ванны и душа,07030301 Мыло туалетное,Мыло Люксия 90г Крем коттон,147116,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070303 Средства для ванны и душа,07030301 Мыло туалетное,Мыло Люксия 90г Крем Миндаль/Масло ши,147117,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070303 Средства для ванны и душа,07030301 Мыло туалетное,Мыло-крем Люксия 90г Лен/Рисовое молочко,147119,
05 Продовольственные товары,0512 Детское питание,051201 Вязкое детское питание,05120103 Пюре мясо-растительное,Пюре Бабушкино Лукошко Индейка/Овощи с 6 мес ст/б 100г,147151,
05 Продовольственные товары,0512 Детское питание,051202 Детские молочные смеси и Каши сухие,05120202 Каши сухие молочные,Каша молочная Винни 5 Злаков с пребиотиками с 6мес 200г БЗМЖ,147160,
05 Продовольственные товары,"0514 Орехи, Сухофрукты",051402 Семечки,05140202 Семечки подсолнечника шт,Семечки Подсолнечника без скорлупы Хочу 230г,147401,
05 Продовольственные товары,"0514 Орехи, Сухофрукты",051402 Семечки,"05140203 Семечки тыквенные, ассорти, прочие",Семечки Тыквенные без скорлупы Хочу 130г,147402,
05 Продовольственные товары,"0514 Орехи, Сухофрукты",051403 Сухофрукты,05140301 Сушеные плоды шт,Инжир сушеный Хочу 180г,147405,
05 Продовольственные товары,"0514 Орехи, Сухофрукты",051403 Сухофрукты,"05140302 Сушеные ягоды, изюм шт",Клюква целая сушеная Хочу 150г,147406,
05 Продовольственные товары,"0514 Орехи, Сухофрукты",051403 Сухофрукты,05140301 Сушеные плоды шт,Курага сушеная Хочу 180г,147407,
05 Продовольственные товары,"0514 Орехи, Сухофрукты",051403 Сухофрукты,"05140302 Сушеные ягоды, изюм шт",Изюм Джумбо Голд Хочу 130г,147409,
05 Продовольственные товары,"0514 Орехи, Сухофрукты",051403 Сухофрукты,"05140302 Сушеные ягоды, изюм шт",Изюм Джумбо Хочу 150г,147410,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,"05110206 Карамель, леденцы фасованные",Карамель леденцовая Барбарис SMART 250г,147458,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,"05110206 Карамель, леденцы фасованные",Карамель леденцовая Дюшес SMART 250г,147459,
02 Скоропортящиеся товары,0214 Торты и пирожные,021404 Пирожные привозные,02140403 Пирожные заварные,Профитроли с пломбирным кремом Мирель 180г,147465,
02 Скоропортящиеся товары,0201 Молочная продукция,"020108 Масло, маргарин, спред",02010801 Масло,"Масло сливочное Тысяча Озёр Свежесть финского утра 82,5% 180г БЗМЖ",147497,
02 Скоропортящиеся товары,"0206 Рыбные деликатесы, Пресервы","020608 Копченая, вяленая рыба",02060802 Рыба холодного копчения шт,Салака х\к За Родину в/уп 400г,147499,
02 Скоропортящиеся товары,"0206 Рыбные деликатесы, Пресервы","020608 Копченая, вяленая рыба",02060802 Рыба холодного копчения шт,Корюшка х/к н/р За Родину 220г,147500,
07 Непродовольственные товары,0709 Товары для дома,070901 Посуда столовая и для напитков,"07090102 Бокалы, фужеры",Набор стопок для водки Нью Йорк 6шт 50мл,147513,
07 Непродовольственные товары,0709 Товары для дома,070901 Посуда столовая и для напитков,"07090102 Бокалы, фужеры",Набор бокалов для вина Аллегресс 4шт 420мл,147516,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы","010107 Соленья, соусы",01010701 Капуста квашеная,Капуста квашеная Балтийские салаты с клюквой 600г,147523,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110201 Шоколад и батончики,Шоколад Дав Молочный шоколад 90г,147528,
07 Непродовольственные товары,0702 Бумажно-ватная продукция и Средства гигиены,"070203 Салфетки, платки бумажные",07020301 Салфетки бумажные,Салфетки бум Утята А100,147567,
04 Замороженная продукция,0403 Рыба и морепродукты замороженные,040302 Морепродукты зам,04030201 Креветки и мидии зам,Креветки королевские Агама №5 ХХL 700г,147571,
04 Замороженная продукция,0403 Рыба и морепродукты замороженные,040302 Морепродукты зам,04030201 Креветки и мидии зам,Креветки отборные Бухта Изобилия 70/90 850г,147572,
05 Продовольственные товары,0501 Консервация,050103 Овощная консервация,05010310 Закуски и салаты овощные консервы,Икра кабачковая КухмастерГОСТ 480г,147599,
05 Продовольственные товары,"0507 Специи, Приправы","050702 Смеси сухие для соусов, первых и вторых блюд",05070201 Смеси для приготовления первых и вторых блюд,Смесь На второе Болоньез Кнорр 34г,147601,
"06 Напитки, Табак",0602 Водка и Настойки,060201 Водка,06020102 Водка,"Водка Финский лед 0,5л 40%",147610,
05 Продовольственные товары,0504 Продукция быстрого приготовления,050404 Бульоны быстрого приготовления,05040401 Бульоны быстрого приготовления,Куриный бульон в порошке Магги 100г,147618,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070307 Изделия медицинского назначения,07030701 Презервативы,Презервативы Дюрекс Инвизибл ультратонкие 3шт,147754,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021201 Хлеб ПЕКАРНЯ,"02120101 Хлеб, батон из пшеничной муки ПЕКАРНЯ",Хлеб Злаковый 400г РХ,147862,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021201 Хлеб ПЕКАРНЯ,"02120101 Хлеб, батон из пшеничной муки ПЕКАРНЯ",Хлеб пшеничный Паве 300г РХ,147863,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021201 Хлеб ПЕКАРНЯ,02120102 Багет ПЕКАРНЯ,Багет Прованский 250г РХ,147864,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021201 Хлеб ПЕКАРНЯ,"02120101 Хлеб, батон из пшеничной муки ПЕКАРНЯ",Хлеб Солодовый 300г РХ,147865,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021201 Хлеб ПЕКАРНЯ,"02120101 Хлеб, батон из пшеничной муки ПЕКАРНЯ",Хлеб Рустик 400г РХ,147866,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021201 Хлеб ПЕКАРНЯ,02120102 Багет ПЕКАРНЯ,Багет Французский Традиционный 250г РХ,147867,
07 Непродовольственные товары,0705 Товары для уборки,"070501 Губки, тряпки, швабры","07050102 Швабры, совки, щетки",Запас Йорк швабра SALSA/8131 1/3,147916,
04 Замороженная продукция,"0401 Овощи, Ягоды, Грибы замороженные",040103 Смеси овощей зам,04010301 Смеси овощей зам,Картофель Фермерские Продукты по-деревенски с травами Мираторг 400г,147919,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021202 Мелкоштучные изделия ПЕКАРНЯ,02120202 Мелкоштучные сдобные изделия ПЕКАРНЯ,Сдоба Витая 300г СП,147932,
07 Непродовольственные товары,0711 Печатная продукция,"071101 Газеты, журналы","07110101 Газеты, журналы",Журнал Щенячий патруль,147938,
"01 Фрукты, Овощи, Цветы свежие","0101 Фрукты, Овощи, Зелень, Грибы",010104 Фрукты,"01010406 Тропические (ананасы, манго)",Маракуйя SPAR 1уп,147961,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110201 Шоколад и батончики,Шоколад Милка молочный с цельным фундуком 85г,147974,
05 Продовольственные товары,0511 Кондитерские изделия,051104 Прикасса,05110402 Мучные изделия прикасса,Печенье Орео 38г,147976,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110201 Шоколад и батончики,Шоколад Воздушный белый 85г,147977,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110201 Шоколад и батончики,Шоколад Воздушный молочный 85г,147978,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110201 Шоколад и батончики,Шоколад Милка молочный 85г,147980,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110201 Шоколад и батончики,Шоколад Милка молочный с фундуком 85г,147981,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021201 Хлеб ПЕКАРНЯ,02120109 Сухари ПЕКАРНЯ,Сухарики сдобные СП,147985,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110205 Конфеты не шоколадные фасованные,Конфеты Азовская Молочная 300г,148101,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110201 Шоколад и батончики,Шоколад Милка Лу молочный с печеньем 87г,148108,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021201 Хлеб ПЕКАРНЯ,"02120101 Хлеб, батон из пшеничной муки ПЕКАРНЯ",Хлеб Деревенский 300г СП,148125,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021201 Хлеб ПЕКАРНЯ,"02120101 Хлеб, батон из пшеничной муки ПЕКАРНЯ",Чиабатта классическая ЛП,148143,
05 Продовольственные товары,0511 Кондитерские изделия,051101 Кондитерские мучные изделия,"05110107 Печенье, крекер сладкий упакованное",Печенье Юбилейное с темной глазурью 116г,148157,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070301 Гигиена полости рта,07030101 Зубная паста,Зубная паста Сплат Сенситив 100мл,148239,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021203 Хлеб для выпечки,02120301 Хлеб для выпечки,Батон Аппетитный 315г,148288,
02 Скоропортящиеся товары,0207 Мясные и мясоколбасные деликатесы,020702 Варёные колбасы,02070203 Колбаса ветчинная шт,Ветчина с индейкой Империя Вкуса 400г,148336,
02 Скоропортящиеся товары,0207 Мясные и мясоколбасные деликатесы,"020701 Сосиски, сардельки",02070101 Сосиски шт,Сосиски Сливочные ГОСТ ВМК 330г,148342,
02 Скоропортящиеся товары,0207 Мясные и мясоколбасные деликатесы,020702 Варёные колбасы,02070201 Вареные колбасы шт,Колбаса вареная Докторская Особая ГМК 450г,148412,
02 Скоропортящиеся товары,0207 Мясные и мясоколбасные деликатесы,020702 Варёные колбасы,02070201 Вареные колбасы шт,Колбаса вареная Телячья ГОСТ ГМК 450г,148414,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070304 Средства ухода за волосами,07030401 Шампунь,Шампунь Эльсев 400мл Цвет и Блеск,148602,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070304 Средства ухода за волосами,07030401 Шампунь,Шампунь Гарньер 400мл Фруктис Тройное восстановление,148629,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070305 Средства для бритья,"07030506 Лезвия, одноразовые станки и бритвы",Станок для бритья Arko Reg2 Стандарт 2 лезвия 3шт,148693,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070301 Гигиена полости рта,07030101 Зубная паста,Зубная паста Аквафреш White&Shine Сияющая белизна 100мл,148728,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021202 Мелкоштучные изделия ПЕКАРНЯ,02120204 Мелкоштучные сдобные сладкие изделия ПЕКАРНЯ,Булочка плюшка с маком 100 г СП,148896,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021202 Мелкоштучные изделия ПЕКАРНЯ,02120204 Мелкоштучные сдобные сладкие изделия ПЕКАРНЯ,Булочка с яблоком 100 г СП,148900,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110214 Сахарные восточные изделия,Рахат-лукум Азовская КФ ассорти 200г,148956,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110212 Халва,Халва Азовская КФ подсолнечная 500г,148957,
05 Продовольственные товары,0511 Кондитерские изделия,051101 Кондитерские мучные изделия,05110111 Круассаны,Круассан Чипикао Миньоны с какао 60г,149018,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,"05110208 Желейные изделия, мармелад",Мармелад РотФронт Чудо Ягода яблоко апельсин дыня 250г,149051,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,"05110208 Желейные изделия, мармелад",Мармелад РотФронт Чудо Ягода малина брусника черн смородина 250г,149052,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110201 Шоколад и батончики,Шоколад Коммунарка горький Трюфельный элит 200г,149191,
02 Скоропортящиеся товары,0201 Молочная продукция,020102 Кисломолочная продукция традиционная,02010205 Напитки кисломолочные национальные,"Напиток кисломолочный Айран Эльнатюр 1,7% 0,5л БЗМЖ",149235,
02 Скоропортящиеся товары,0201 Молочная продукция,020102 Кисломолочная продукция традиционная,02010205 Напитки кисломолочные национальные,"Напиток кисломолочный Айран Эльнатюр 1,7% 1л БЗМЖ",149236,
07 Непродовольственные товары,0711 Печатная продукция,"071101 Газеты, журналы","07110101 Газеты, журналы",Журнал Лечебные письма. Пенсионер,149489,
07 Непродовольственные товары,0711 Печатная продукция,"071101 Газеты, журналы","07110101 Газеты, журналы",Журнал Арт йога раскраска антистресс,149490,
07 Непродовольственные товары,0711 Печатная продукция,"071101 Газеты, журналы","07110101 Газеты, журналы",Журнал Звезды и закон,149491,
07 Непродовольственные товары,0711 Печатная продукция,"071101 Газеты, журналы","07110101 Газеты, журналы",Журнал Пенсионер на даче,149492,
07 Непродовольственные товары,0711 Печатная продукция,"071101 Газеты, журналы","07110101 Газеты, журналы",Журнал Сваты на даче,149495,
07 Непродовольственные товары,0711 Печатная продукция,"071101 Газеты, журналы","07110101 Газеты, журналы",Журнал Сваты на кухне,149496,
07 Непродовольственные товары,0711 Печатная продукция,"071101 Газеты, журналы","07110101 Газеты, журналы",Журнал Тайны звёзд спец Ретро,149500,
07 Непродовольственные товары,0711 Печатная продукция,"071101 Газеты, журналы","07110101 Газеты, журналы",Журнал Дарья.Гороскоп,149504,
05 Продовольственные товары,"0502 Чай, Кофе, Какао",050202 Кофе,05020203 Растворимый кофе,Кофе растворимый Нескафе Классик Крема 95г ст/б,149527,
07 Непродовольственные товары,0703 Персональный уход и Косметика,"070306 Косметика, уход за кожей",07030609 Косметика для ногтей,Средство для удаления гель-лака Мечта 115мл,149675,
07 Непродовольственные товары,0703 Персональный уход и Косметика,"070306 Косметика, уход за кожей",07030609 Косметика для ногтей,"Средство для удаления лака Ласка Витамины В5,А без ацетона 100мл",149676,
07 Непродовольственные товары,0703 Персональный уход и Косметика,"070306 Косметика, уход за кожей",07030609 Косметика для ногтей,Средство для удаления лака Ласка Женьшень без ацетона 100мл,149677,
02 Скоропортящиеся товары,0201 Молочная продукция,020106 Детское молочное питание до 3х лет,02010603 Кисломолочные напитки до 3х лет,"Биолакт питьевой Тема б/сахара с 8 мес 3,4% т/п 206г БЗМЖ",149685,
02 Скоропортящиеся товары,0201 Молочная продукция,020103 Творог,02010302 Творог зерненый,Творог зерненый Залесский Фермер 5% 200г БЗМЖ,149708,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021201 Хлеб ПЕКАРНЯ,02120108 Тесто ПЕКАРНЯ,Тесто для пиццы СП,149718,
07 Непродовольственные товары,"0701 Моющие и чистящие средства, Бытовая химия","070102 Ополаскиватели, отбеливатели, кондиционеры","07010202 Смягчители, кондиционеры для белья",Крахмал-спрей для белья Чиртон 300мл,149727,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070301 Гигиена полости рта,"07030102 Зубные щетки, нити зубные",Зубная щётка Др.Клин Чиртон Кидс,149728,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110201 Шоколад и батончики,Шоколад Милка молочный Карамель 90г,149784,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110201 Шоколад и батончики,Шоколад Милка молочный с фундуком и изюмом 85г,149785,
05 Продовольственные товары,0501 Консервация,050103 Овощная консервация,05010305 Кукуруза,Кукуруза сладкая Хайнц 340г,149800,
07 Непродовольственные товары,"0715 Туризм, Отдых, Спорт, Товары для сада","071501 Пикник, отдых на природе","07150101 Уголь, дрова, розжиг",Роллы для розжига А2,149809,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110201 Шоколад и батончики,Плитка кондитерская Хорошая компания мол с арахисом 80г,149837,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,05110201 Шоколад и батончики,Плитка кондитерская Хорошая компания мол с вафельной крошкой 80г,149838,
07 Непродовольственные товары,0709 Товары для дома,070901 Посуда столовая и для напитков,"07090101 Кофейная, чайная посуда, кружки",Кружка Британия 600мл для пива,149843,
05 Продовольственные товары,0511 Кондитерские изделия,051104 Прикасса,05110401 Жевательные резинки,"Жевательная резинка Дирол Маракуйя 13,6г",149871,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070304 Средства ухода за волосами,07030403 Краска для волос,Краска Палетт 110мл 7.1 (C6) Холодный средне-русый,149911,
02 Скоропортящиеся товары,0207 Мясные и мясоколбасные деликатесы,020705 Мясные деликатесы из свинины,02070506 Мясо сырокопченое и сыровяленое из свинины нарезка,Грудинка с/к Деревенская Альмак нарезка 200г,149933,
"06 Напитки, Табак",0601 Напитки безалкогольные,060103 Напитки и квас,"06010303 Холодный чай, кофе",Напиток б/а холодный чай Липтон Лимон 1л,149951,
"06 Напитки, Табак",0601 Напитки безалкогольные,060103 Напитки и квас,"06010303 Холодный чай, кофе",Напиток б/а холодный чай Липтон Зеленый 1л,149952,
"06 Напитки, Табак",0601 Напитки безалкогольные,060103 Напитки и квас,"06010303 Холодный чай, кофе",Напиток б/а холодный чай Липтон Лимон 1.5л,149953,
"06 Напитки, Табак",0601 Напитки безалкогольные,060103 Напитки и квас,"06010303 Холодный чай, кофе",Напиток б/а холодный чай Липтон Зеленый 1.5л,149954,
"06 Напитки, Табак",0601 Напитки безалкогольные,060103 Напитки и квас,"06010303 Холодный чай, кофе","Напиток б/а холодный чай Липтон Персик 1,5л",149955,
07 Непродовольственные товары,0703 Персональный уход и Косметика,070303 Средства для ванны и душа,07030302 Мыло жидкое,Мыло-крем жид Milana 500мл Молоко и Мёд увлажняющее,150045,
04 Замороженная продукция,0402 Полуфабрикаты замороженные,040203 Рыбные полуфабрикаты обработанные зам,"04020301 Котлеты, бургеры рыбные зам",Бургеры рыбные Вичи 500г,150052,
05 Продовольственные товары,"0506 Соусы, Майонезы, Уксус",050606 Соусы прочие,05060602 Песто,Соус Песто с базиликом и рукколой Барилла 190г,150120,
05 Продовольственные товары,"0506 Соусы, Майонезы, Уксус","050601 Кетчупы, соусы на томатной основе",05060101 Томатные соусы,Соус Аррабьята Барилла 400г,150121,
05 Продовольственные товары,"0506 Соусы, Майонезы, Уксус",050606 Соусы прочие,05060603 Столовые соусы,Соус Наполетана Барилла 400г,150122,
05 Продовольственные товары,"0506 Соусы, Майонезы, Уксус",050606 Соусы прочие,05060602 Песто,Соус Песто Дженовезе Барилла 190г,150126,
02 Скоропортящиеся товары,0201 Молочная продукция,020101 Молоко и молочная продукция,02010101 Молоко пастеризованное,"Молоко Добрая Кормилица 3,5% бутылка 1400г БЗМЖ",150151,
07 Непродовольственные товары,"0710 Одежда, Обувь, Галантерея",071001 Чулочно-носочные изделия,"07100101 Колготки, гольфы, следки женские",Колготки Гламур Эдера 40 ден неро 2,150192,
07 Непродовольственные товары,"0710 Одежда, Обувь, Галантерея",071001 Чулочно-носочные изделия,"07100101 Колготки, гольфы, следки женские",Колготки Гламур Эдера 40 ден неро 3,150193,
07 Непродовольственные товары,"0710 Одежда, Обувь, Галантерея",071001 Чулочно-носочные изделия,"07100101 Колготки, гольфы, следки женские",Колготки Гламур Эдера 40 ден неро 4,150194,
07 Непродовольственные товары,"0710 Одежда, Обувь, Галантерея",071001 Чулочно-носочные изделия,"07100101 Колготки, гольфы, следки женские",Колготки Гламур Эдера 40 ден дайно 2,150195,
07 Непродовольственные товары,"0710 Одежда, Обувь, Галантерея",071001 Чулочно-носочные изделия,"07100101 Колготки, гольфы, следки женские",Колготки Гламур Эдера 40 ден дайно 3,150196,
07 Непродовольственные товары,"0710 Одежда, Обувь, Галантерея",071001 Чулочно-носочные изделия,"07100101 Колготки, гольфы, следки женские",Колготки Гламур Эдера 40 ден дайно 4,150197,
07 Непродовольственные товары,"0710 Одежда, Обувь, Галантерея",071001 Чулочно-носочные изделия,"07100101 Колготки, гольфы, следки женские",Колготки Иннаморе Белла 20 ден 2 неро,150201,
07 Непродовольственные товары,"0710 Одежда, Обувь, Галантерея",071001 Чулочно-носочные изделия,"07100101 Колготки, гольфы, следки женские",Колготки Иннаморе Белла 20 ден 3 неро,150202,
07 Непродовольственные товары,"0710 Одежда, Обувь, Галантерея",071001 Чулочно-носочные изделия,"07100101 Колготки, гольфы, следки женские",Колготки Иннаморе Белла 20 ден 4 неро,150203,
02 Скоропортящиеся товары,0202 Сыр,020202 Плавленый сыр,02020203 Плавленый сыр ломтики,Сыр плавленый Витако Сливочный 35% слайсы 130г БЗМЖ,150266,
05 Продовольственные товары,"0507 Специи, Приправы",050703 Этническая и национальная кухня,05070302 Японская кухня,"Чипсы нори СэнСой Кимчи 4,5г",150267,
05 Продовольственные товары,"0507 Специи, Приправы",050703 Этническая и национальная кухня,05070301 Паназиатская кухня,Уксус рисовый для суши СэнСой премиум 220мл,150268,
05 Продовольственные товары,"0507 Специи, Приправы",050703 Этническая и национальная кухня,05070301 Паназиатская кухня,Заправка для салата СэнСой имбирная 40г,150269,
05 Продовольственные товары,"0507 Специи, Приправы",050703 Этническая и национальная кухня,05070301 Паназиатская кухня,Заправка для салата СэнСой Ореховая 40г,150270,
05 Продовольственные товары,"0507 Специи, Приправы",050703 Этническая и национальная кухня,05070302 Японская кухня,"Чипсы нори СэнСой Терияки 4,5г",150273,
05 Продовольственные товары,"0507 Специи, Приправы",050703 Этническая и национальная кухня,05070301 Паназиатская кухня,Соус СэнСой Якитори 120г,150279,
"06 Напитки, Табак",0603 Крепкие спиртные напитки,"060307 Ликёр, аперитив, бальзам",06030701 Ликёр,"Ликер История Любви сливочный вкус 0,5л 18%",150311,
"06 Напитки, Табак",0602 Водка и Настойки,060201 Водка,06020102 Водка,"Водка Царская оригинальная 0,5л 40%",150337,
07 Непродовольственные товары,0703 Персональный уход и Косметика,"070306 Косметика, уход за кожей",07030601 Средства ухода за лицом,Крем д/лица Нивея 100мл Care Увлажняющий день,150380,
02 Скоропортящиеся товары,0209 Мясо и птица охлажденные ЦЕХ и ФЛП,020901 Мясо и полуфабрикаты из мяса охл ЦЕХ,02090101 Свинина кусок и п/ф натуральные охл ЦЕХ,Свинина фермерская мясокостная Цех,150451,
02 Скоропортящиеся товары,0201 Молочная продукция,020109 Молочные консервы,02010901 Сгущеное молоко цельное,"Молоко сгущенное Рогачевъ цельное с сахаром 8,5% ж/б 380г БЗМЖ",150458,
02 Скоропортящиеся товары,0209 Мясо и птица охлажденные ЦЕХ и ФЛП,020901 Мясо и полуфабрикаты из мяса охл ЦЕХ,02090108 Полуфабрикаты рубленные из мяса охл ЦЕХ,Колбаски куриные ПФ Цех,150521,
03 Готовая еда,0301 Готовая еда ЦЕХ,"030102 Вторые блюда, гарниры ЦЕХ",03010203 Вторые блюда из мяса ЦЕХ,Колбаски Деревенские ГП Цех,150522,
05 Продовольственные товары,"0507 Специи, Приправы","050702 Смеси сухие для соусов, первых и вторых блюд",05070201 Смеси для приготовления первых и вторых блюд,"Приправа для нежного филе куриной грудки по-итальянски Магги 30,6г",150563,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021201 Хлеб ПЕКАРНЯ,02120109 Сухари ПЕКАРНЯ,Сухарики чесночные к пиву ГП СП,150566,
05 Продовольственные товары,0511 Кондитерские изделия,051101 Кондитерские мучные изделия,"05110107 Печенье, крекер сладкий упакованное",Печенье Орео 95г,150575,
07 Непродовольственные товары,"0715 Туризм, Отдых, Спорт, Товары для сада","071501 Пикник, отдых на природе","07150101 Уголь, дрова, розжиг",Жидкость для розжига Чистая энергия 0.5л,150592,
07 Непродовольственные товары,"0715 Туризм, Отдых, Спорт, Товары для сада","071501 Пикник, отдых на природе","07150101 Уголь, дрова, розжиг","Спички для пикника 9см, 30шт",150594,
"06 Напитки, Табак",0601 Напитки безалкогольные,060103 Напитки и квас,"06010303 Холодный чай, кофе",Напиток б/а холодный чай Липтон Лимон 0.5л,150627,
"06 Напитки, Табак",0601 Напитки безалкогольные,060103 Напитки и квас,"06010303 Холодный чай, кофе",Напиток б/а холодный чай Липтон Зеленый 0.5л,150628,
"06 Напитки, Табак",0601 Напитки безалкогольные,060103 Напитки и квас,"06010303 Холодный чай, кофе",Напиток б/а холодный чай Липтон Персик 0.5л,150630,
02 Скоропортящиеся товары,0208 Хлеб и выпечка,020802 Мелкоштучные изделия привозные,02080205 Мелкоштучные изделия из песочного теста,Тарталетки Бэйкер Хаус 180г,150654,
02 Скоропортящиеся товары,0207 Мясные и мясоколбасные деликатесы,"020701 Сосиски, сардельки",02070102 Сосиски вес,Сосиски Андриановские МК Балтика 1кг,150657,
02 Скоропортящиеся товары,0207 Мясные и мясоколбасные деликатесы,"020708 Мясные деликатесы в желе, холодцы",02070803 Заливное,Деликатес из мяса курицы в желе с овощами МК Балтика 500г,150661,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021201 Хлеб ПЕКАРНЯ,02120109 Сухари ПЕКАРНЯ,Сухари чесночные к пиву ржаные ГП СП,150676,
02 Скоропортящиеся товары,0212 ПЕКАРНЯ,021201 Хлеб ПЕКАРНЯ,02120109 Сухари ПЕКАРНЯ,Сухари чесночные к пиву пшеничные ГП СП,150677,
05 Продовольственные товары,0511 Кондитерские изделия,051102 Кондитерские сахарные и шоколадные изделия фасованные,"05110203 Конфеты в коробках, наборы",Конфеты Раффаэлло Т9 90г,150761,
07 Непродовольственные товары,0704 Уход за ребенком,070401 Средства гигиены для детей,07040102 Влажные салфетки для детей,Салфетки влаж детские SMART А120 Эконом,150767,
07 Непродовольственные товары,0705 Товары для уборки,"070501 Губки, тряпки, швабры","07050101 Тряпки, салфетки тканевые",Полотенца вискозные House Lux №70 универсальные,150772,
02 Скоропортящиеся товары,0202 Сыр,020201 Мягкий сыр,02020101 Творожные сыры,Сыр творожный Карат Виолетта Сливочный 70% пл/банка 140г БЗМЖ,150835,
02 Скоропортящиеся товары,0202 Сыр,020201 Мягкий сыр,02020101 Творожные сыры,Сыр творожный Карат Виолетта Ароматная Зелень 70% пл/банка 140г БЗМЖ,150836,
02 Скоропортящиеся товары,0202 Сыр,020202 Плавленый сыр,"02020202 Плавленый сыр порционный (круги, шт)",Сыр плавленый Карат Дружба 45% фольга 90г БЗМЖ,150842,
02 Скоропортящиеся товары,0202 Сыр,020202 Плавленый сыр,02020201 Плавленый сыр в ванночках,Сыр плавленый Карат Шоколадный 30% стакан 230г БЗМЖ,150844,
02 Скоропортящиеся товары,0202 Сыр,020202 Плавленый сыр,"02020202 Плавленый сыр порционный (круги, шт)",Сыр плавленый Карат Луковый для супа 55% фольга 90г БЗМЖ,150846,
